actividad,prestatario,vacantes,nombre_largo,nombre_del_programa,fecha_inicio,fecha_termino,objetivo,justificación,domicilio,representante,medios_de_contacto_con_el_representante,apoyos
APOYO EN LA INVESTIGACIÓN DE NUEVAS HERRAMIENTAS TECNOLÓGICAS A DISTANCIA,INEA (241300100),3,INSTITUTO NACIONAL PARA LA EDUCACION DE LOS ADULTOS,ADMINISTRACIÓN Y DIFUSIÓN DE PROGRAMAS INSTITUCIONALES A DISTANCIA (05001c8660),2022-05-16,2023-05-15,Coadyuvar en los procesos y proyectos institucionales de manera presencial.,"Integrar a las personas prestadoras de servicio social en las actividades del Instituto, toda vez que se reanudaron de manera presencial..","Calle: FRANCISCO MARQUEZ, Núm. exterior: 160, Núm. interior: 1 PISO, Colonia: CONDESA, Delegación o Municipio: CUAUHTEMOC",JULIAN RENE CALERO BELLO,"e-mail: serviciosocial@inea.gob.mx, Tel: 5552412700, ext. 22605 y 22618, Fax: 5548239455","ASESORÍA, BECA ECONÓMICA, Monto del Apoyo $ ,"
APOYO A LA AMCP,AMCPDF (300003500),59,"ASOCIACION MEXICANA DE CONTADORES PUBLICOS, COLEGIO PROFESIONAL EN EL DISTRITO FEDERAL, A.C.",PASANTE AMCP (08014k1785),2022-04-01,2023-03-31,"QUE LOS ALUMNOS PONGAN EN PRACTICA LOS CONOCIMIENTOS ADQUIRIDOS A NIVEL TEORICO/PRACTICO, LO QUE PERMITIRA CONOCER EL CAMPO LABORAL AL QUE SE INCORPORAN DE LLENO UNA VEZ CONCLUIDA SU FORMACION",fortalecer el apoyo y cooperación profesional de dicha Institución Educativa y nuestra Asociación para asi brindarles una mejor atencion a los prestadores de servicio social,"Calle: ESPERANZA, Núm. exterior: 765, Núm. interior: S/N, Colonia: NARVARTE, Delegación o Municipio: BENITO JUAREZ",VERONICA HERNANDEZ LORANCA,"e-mail: afiliacion@amcpdf.org.mx, Tel: 56362370 ext. 109, Fax:","ASESORÍA, BECA ECONÓMICA, Monto del Apoyo $ , CURSOS,"
"APOYO EN EL ANÁLISIS DE DISEÑO Y DESARROLLO DE SISTEMAS DE INFORMACIÓN, A DISTANCIA",IMP (240500200),2,INSTITUTO MEXICANO DEL PETROLEO,PROGRAMA PARA LA FORMACIÓN DE CAPITAL HUMANO A DISTANCIA (05010j8709),2021-09-01,2022-08-31,"Apoyar al desarrollo de estudiantes con conocimientos, habilidades y actitudes requeridos permitiendo su participación A DISTANCIA, en las áreas afines a la industria petrolera",Apoyar a los estudiantes que cursen carreras afines a la industria petrolera para realizar las actividades de Servicio Social A DISTANCIA.,"Calle: EJE CENTRAL LÁZARO CÁRDENAS, Núm. exterior: 152, Núm. interior: 5-102, Colonia: SAN BARTOLO ATEPEHUACAN, Delegación o Municipio: ALCALDÍA GUSTAVO A. MADERO",MARÍA GUADALUPE ALVARADO MALDONADO,"e-mail: serviciosocial@imp.mx, Tel: (55)9175-6925, Fax:","ASESORÍA, DIRECCIÓN DE TESIS, MATERIAL Y EQUIPO, OPCIÓN A TESIS,"
BRIDAR APOYO Y ASESORIA A LOS ALUMNOS A DISTANCIA. MEDIANTE PLATAFORMAS EN LINEA Y VIDEOCONFERENCIA,OFTV. NO. 0220 JUAN JACOBO ROUSSEAU (241312561),16,ESCUELA OFICIAL TELESECUNDARIA NO. 0220 JUAN JACOBO ROUSSEAU,APOYO Y ASESORÍA A DISTANCIA (05788c8542),2021-03-01,2023-02-28,CREAR EN LOS PRESTADORES DE SERVICIO SOCIAL EL VALOR DE SOLIDARIDAD Y EMPATIA CON LA COMUNIDAD ESTUDIANTIL. Y A TRAVÉS DEL PROGRAMA BRIDAR APOYO EN DUDAS Y ASESORÍA A DISTANCIA.,"LOS ALUMNOS NECESITAN AYUDA Y ASESORIA A DISTANCIA, VIA ELECTRONICA CON LAS MATERIAS EN LINEA, TALES COMO MATEMATICAS, CIENCIA, ETC.","Calle: REFORMA, Núm. exterior: SN, Núm. interior: SN, Colonia: SAN AGUSTIN ACTIPAC, Delegación o Municipio: TEOTIHUACAN",MARIA DEL REFUGIO RIVERO JUAREZ,"e-mail: Telesecundariajuanjacobo220@gmail.com, Tel: 5525781085, Fax:","ASESORÍA, BIBLIOGRAFÍA, MATERIAL Y EQUIPO, PAPELERÍA,"
"CONEXIÓN DE EQUIPOS DE CÓMPUTO E IMPRESORA DE RED, CONFIGURACIÓN DE INTERNET, DISEÑO DE SISTEMA",A.T. (221300000),8,ALCALDIA DE TLAHUAC,SISTEMAS INFORMATICOS (20013b5202),2022-03-16,2023-03-15,"IMPLEMENTAR ACCIONES DE MODERNIZACIÓN, ORGANIZACIÓN SIMPLIFICACIÓN, SISTEMATIZACIÓN Y CONECTIVIDAD EN MATERIA INFORMÁTICA QUE APOYEN Y FACILITEN EL LOGRO DE LOS OBJETIVOS FUNDAMENTALES.","BRINDAR SERVICIO A LOS EQUIPOS Y SISTEMAS DE COMUNICACIÓN, DE MANERA OPORTUNA Y EFICAZ EN LAS ÁREAS DE LA DELEGACIÓN TLÁHUAC.","Calle: ANDADOR CUITLAHUAC ESQ. NICOLAS BRAVO, Núm. exterior: S/N, Núm. interior: S/N, Colonia: BO. LA ASUNCIÓN, Delegación o Municipio: TLÁHUAC",IMELDA RUTH MEJIA HERNANDEZ,"e-mail: servicio-tlahuac@hotmail.com, Tel: 58623250 ext. 1148, Fax: 58425008","MATERIAL Y EQUIPO, PAPELERÍA,"
APOYAR EN LA COLABORACION DE LA PROGRAMACION EN SISTEMAS Y APLICACIONES INSTITUCIONALES,PROFECO (240600200),5,PROCURADURIA FEDERAL DEL CONSUMIDOR,PROTECCION AL CONSUMIDOR (13002m0255),2022-05-01,2023-04-30,"Proteger y defender los derechos de las y los consumidores, generando una cultura de consumo responsable, así como proporcionar información oportuna y objetiva para la toma de decisiones de consumo.","Coadyuvar en la protección y promoción de los derechos de las y los consumidores, garantizando relaciones comerciales equitativas que fortalezcan la cultura de consumo responsable y el acceso en mejores condiciones de mercado a productos y servicios.","Calle: AV. JOSE VASCONCELOS, Núm. exterior: 208, Núm. interior: 17, Colonia: CONDESA, Delegación o Municipio: CUAUHTEMOC",JOSÉ ALBERTO SOTO -,"e-mail: ireyesl@profeco.gob.mx, Tel: 56256840, Fax:","ASESORÍA, MATERIAL Y EQUIPO, PAPELERÍA,"
DESARROLLO DE SISTEMAS WEB,HABIL (400027013),9,HABIL RH S.A. DE C.V.,UN ACERCAMIENTO A JAVA (20339l0624),2022-09-01,2023-08-31,PROVEER AL ALUMNO EL USO DE HERRAMIENTAS QUE LE AYUDEN EN SU DESARROLLO PROFESIONAL. A DISTANCIA,"El prestador aprenderá el uso de Tecnologías de la Información para el desarrollo de soluciones de Sistemas. Se pondrá en practica el conocimiento adquirido en los cursos de: Ingeniería de Software, Programación Orientada a Objetos, BD y SO. Las actividades se harán en MODALIDAD DE DISTANCIA","Calle: AVE. EJERCITO NACIONAL, Núm. exterior: 843 B, Núm. interior: PISO 5 INT. A, Colonia: GRANADA, Delegación o Municipio: MIGUEL HIDALGO",INES RODRIGUEZ AVILA,"e-mail: servicio.social@gehabil.mx, Tel: 5521294695, Fax:","ASESORÍA, BECA ECONÓMICA, Monto del Apoyo $ , CAPACITACIÓN, CURSOS,"
"APOYO EN EL DISEÑO DE PROCESOS, PROYECTOS Y APLICACIÓN DE TECNOLOGÍA PARA LA ELABORACIÓN DE REPORTE",AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO (241201200),2,AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO S.A. DE C.V.,APOYO AL AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO (19196l1904),2022-03-16,2023-03-15,CONSOLIDAR Y FORTALECER LA FORMACIÓN PROFESIONAL DE LOS ALUMNOS A TRAVÉS DE UNA ESTANCIA DENTRO DEL SECTOR,SEGUIR CONTANDO CON EL APOYO PROFESIONAL A FIN DE CUMPLIR CON LOS OBJETIVOS ESTABLECIDOS EN ESTA TERMINAL AEREA,"Calle: CAPITÁN CARLOS LEÓN, Núm. exterior: S/N, Núm. interior: S/N, Colonia: PEÑON DE LOS BAÑOS, Delegación o Municipio: VENUSTIANO CARRANZA",AURORA RICO VALLE,"e-mail: aosante@aicm.com.mx, Tel: 55-2482-2221, Fax: 55-2482-2575","BECA ECONÓMICA, Monto del Apoyo $ , MATERIAL Y EQUIPO,"
APOYO AL DESARROLLO TECNOLOGICO ( A DISTANCIA),CVDR MORELIA (100202904),4,CENTRO DE VINCULACION Y DESARROLO REGIONAL MORELIA,"RECONOCIMIENTO, IMPULSO Y DES. DE PROYECTOS DE INNOVACIÓN TEC. PARA EL PUERTO LÁZARO ( A DISTANCIA ) (05099a8457)",2022-01-01,2023-12-31,Realizar un estudio socio demográfico que permita realizar distintas propuestas de intervención y generar oportunidad de inversión y desarrollo del puerto con proyectos sólidos y procesos de robustos de intervención.,"Mediante la participación de los alumnos prestadores del servicio social, realizar un estudio que permita interpretar y generar posibilidades de intervención en el Puerto de Lázaro Cárdenas, con el fin de potencializar las oportunidades de desarrollo económico en la región.","Calle: ARBOLEDA, Núm. exterior: 200, Núm. interior: S/N, Colonia: EXHACIENDA SAN JOSÉ DE LA HUERTA, Delegación o Municipio: TENENCIA MORELOS, MUNICIPIO DE MORELIA",MARCO ANTONIO GRAJEDA MONTOYA,"e-mail: mgrajedam@ipn.mx, Tel: (433)3241578 ext: 87108, Fax: 57296000 ext:87108","MATERIAL Y EQUIPO, PAPELERÍA,"
APOYO A LAS ACTIVIDADES ADMINISTRATIVAS Y DE INVESTIGACION DE CECYT 19 MODALIDAD A DISTANCIA,CECYT NO. 19 (100219406),174,"CENTRO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS NO. 19 ""LEONA VICARIO""",PROGRAMA EN APOYO AL CECYT 19 PARA ALUMNOS EXTERNOS A DISTANCIA (05800a8655),2022-06-16,2023-06-15,APOYAR A LOS ALUMNOS PARA SU SERVICIO SOCIAL MODALIDAD A DISTANCIA DEBIDO A LA CONTINGENCIA SANITARIA,DAR LA OPORTUNIDAD A LOS CHICOS EN REALIZAR SU SERVICIO SOCIAL EN EL CECYT 19,"Calle: PRIVADA MALA 27 VILLA ESTRELLA, Núm. exterior: MZ 13 LT 1, Núm. interior: MZ 14 LT 1, Colonia: DEL CONJUNTO URBANO 5TA VERSALLES, Delegación o Municipio: TECAMAC",NORMA GARCIA FLORES,"e-mail: , Tel: , Fax:","ASESORÍA, CAPACITACIÓN,"
